country,year,iso_code,co2,co2_per_capita,co2_per_gdp,co2_including_luc,cement_co2,coal_co2,gas_co2,oil_co2,primary_energy_consumption,energy_per_capita,share_global_co2,decade
Africa,1884,,0.022,0.0,,16.946,0.0,0.022,0.0,0.0,,,0.002,1880s
Africa,1885,,0.037,0.0,,16.434,0.0,0.037,0.0,0.0,,,0.004,1880s
Africa,1886,,0.048,0.0,,16.085,0.0,0.048,0.0,0.0,,,0.005,1880s
Africa,1887,,0.048,0.0,,15.831,0.0,0.048,0.0,0.0,,,0.004,1880s
Africa,1888,,0.081,0.001,,15.613,0.0,0.081,0.0,0.0,,,0.007,1880s
Africa,1889,,0.132,0.001,,15.481,0.0,0.132,0.0,0.0,,,0.011,1880s
Africa,1890,,0.297,0.002,,20.412,0.0,0.297,0.0,0.0,,,0.023,1890s
Africa,1891,,0.297,0.002,,22.707,0.0,0.297,0.0,0.0,,,0.022,1890s
Africa,1892,,0.48,0.004,,24.412,0.0,0.48,0.0,0.0,,,0.035,1890s
Africa,1893,,1.799,0.013,,26.812,0.0,1.799,0.0,0.0,,,0.132,1890s
Africa,1894,,2.433,0.018,,28.147,0.0,2.433,0.0,0.0,,,0.172,1890s
Africa,1895,,3.338,0.024,,29.694,0.0,3.338,0.0,0.0,,,0.223,1890s
Africa,1896,,4.258,0.031,,31.111,0.0,4.258,0.0,0.0,,,0.276,1890s
Africa,1897,,4.778,0.035,,31.988,0.0,4.778,0.0,0.0,,,0.295,1890s
Africa,1898,,6.049,0.044,,33.607,0.0,6.049,0.0,0.0,,,0.355,1890s
Africa,1899,,5.518,0.04,,33.441,0.0,5.518,0.0,0.0,,,0.296,1890s
Africa,1900,,2.33,0.017,,32.486,0.0,2.33,0.0,0.0,,,0.119,1900s
Africa,1901,,3.909,0.028,,35.298,0.0,3.909,0.0,0.0,,,0.193,1900s
Africa,1902,,5.826,0.042,,38.104,0.0,5.826,0.0,0.0,,,0.281,1900s
Africa,1903,,7.896,0.056,,42.552,0.0,7.896,0.0,0.0,,,0.349,1900s
Africa,1904,,8.911,0.063,,44.134,0.0,8.911,0.0,0.0,,,0.39,1900s
Africa,1905,,10.263,0.073,,45.969,0.0,10.263,0.0,0.0,,,0.421,1900s
Africa,1906,,11.717,0.083,,47.736,0.0,11.717,0.0,0.0,,,0.461,1900s
Africa,1907,,12.93,0.091,,49.35,0.0,12.93,0.0,0.0,,,0.446,1900s
Africa,1908,,13.403,0.094,,50.087,0.0,13.403,0.0,0.0,,,0.481,1900s
Africa,1909,,15.385,0.107,,52.319,0.0,15.385,0.0,0.0,,,0.53,1900s
Africa,1910,,17.411,0.121,,54.031,0.0,17.411,0.0,0.0,,,0.572,1910s
Africa,1911,,16.865,0.117,,54.856,0.0,16.854,0.0,0.011,,,0.546,1910s
Africa,1912,,17.954,0.124,,56.038,0.0,17.869,0.0,0.084,,,0.553,1910s
Africa,1913,,19.606,0.135,0.504,57.782,0.0,19.566,0.0,0.04,,,0.558,1910s
Africa,1914,,19.551,0.134,,57.62,0.0,19.243,0.0,0.308,,,0.613,1910s
Africa,1915,,19.606,0.133,,83.637,0.0,19.514,0.0,0.092,,,0.624,1910s
Africa,1916,,23.255,0.158,,93.627,0.0,23.072,0.0,0.183,,,0.686,1910s
Africa,1917,,25.344,0.171,,95.921,0.0,24.919,0.0,0.425,,,0.714,1910s
Africa,1918,,24.725,0.166,,95.372,0.0,23.856,0.0,0.868,,,0.706,1910s
Africa,1919,,25.443,0.17,,93.95,0.0,24.751,0.0,0.692,,,0.839,1910s
Africa,1920,,28.052,0.186,,134.688,0.0,27.594,0.0,0.458,,,0.793,1920s
Africa,1921,,27.986,0.184,,157.493,0.0,27.425,0.0,0.561,,,0.901,1920s
Africa,1922,,23.97,0.156,,158.691,0.0,23.435,0.0,0.534,,,0.737,1920s
Africa,1923,,29.045,0.187,,164.99,0.0,28.572,0.0,0.473,,,0.787,1920s
Africa,1924,,30.631,0.194,,168.88,0.0,30.126,0.0,0.505,,,0.827,1920s
Africa,1925,,32.185,0.202,,184.956,0.0,31.624,0.0,0.561,,,0.86,1920s
Africa,1926,,34.438,0.213,,178.158,0.0,33.903,0.0,0.535,,,0.936,1920s
Africa,1927,,33.841,0.207,,221.961,0.0,33.269,0.0,0.572,,,0.843,1920s
Africa,1928,,34.77,0.21,,226.347,0.127,33.815,0.0,0.828,,,0.87,1920s
Africa,1929,,35.802,0.214,,238.038,0.366,34.59,0.0,0.846,,,0.835,1920s
Africa,1930,,33.696,0.199,,270.511,0.261,32.555,0.0,0.88,,,0.851,1930s
Africa,1931,,29.464,0.171,,297.169,0.266,28.307,0.0,0.89,,,0.832,1930s
Africa,1932,,26.623,0.153,,308.574,0.432,25.355,0.0,0.835,,,0.834,1930s
Africa,1933,,28.491,0.162,,407.189,0.464,27.29,0.0,0.736,,,0.847,1930s
Africa,1934,,32.539,0.182,,398.688,0.534,31.324,0.0,0.682,,,0.89,1930s
Africa,1935,,35.91,0.199,,418.866,0.61,34.743,0.0,0.557,,,0.936,1930s
Africa,1936,,39.016,0.213,,352.526,0.691,37.765,0.0,0.561,,,0.927,1930s
Africa,1937,,41.844,0.226,,357.79,0.727,40.582,0.0,0.535,,,0.931,1930s
Africa,1938,,44.013,0.234,,363.8,0.75,42.56,0.0,0.703,,,1.041,1930s
Africa,1939,,46.853,0.246,,379.223,0.73,43.957,0.11,2.056,,,1.048,1930s
Africa,1940,,49.649,0.257,,467.079,0.653,46.039,0.092,2.865,,,1.016,1940s
Africa,1941,,54.023,0.276,,586.987,0.72,49.442,0.099,3.763,,,1.081,1940s
Africa,1942,,58.823,0.296,,640.223,0.77,54.304,0.106,3.642,,,1.181,1940s
Africa,1943,,60.12,0.297,,666.307,0.809,55.237,0.117,3.957,,,1.185,1940s
Africa,1944,,66.633,0.324,,630.088,0.969,61.371,0.131,4.162,,,1.291,1940s
Africa,1945,,67.527,0.323,,841.463,0.937,62.303,0.136,4.151,,,1.574,1940s
Africa,1946,,68.159,0.321,,646.941,1.144,62.938,0.135,3.942,,,1.479,1940s
Africa,1947,,67.935,0.315,,855.514,1.281,62.415,0.136,4.104,,,1.315,1940s
Africa,1948,,71.733,0.327,,925.309,1.424,64.359,0.139,5.811,,,1.317,1940s
Africa,1949,,77.324,0.347,,944.529,1.532,68.58,0.14,7.072,,,1.486,1940s
Africa,1950,,94.868,0.417,0.308,2118.225,2.014,68.983,0.004,23.867,,,1.6,1950s
Africa,1951,,101.125,0.435,0.314,2118.808,2.269,72.749,0.004,26.104,,,1.585,1950s
Africa,1952,,110.325,0.465,0.33,2123.596,2.327,79.383,0.007,28.608,,,1.706,1950s
Africa,1953,,112.007,0.462,0.323,2170.807,2.637,79.053,0.015,30.302,,,1.684,1950s
Africa,1954,,117.536,0.475,0.324,2241.218,3.041,81.77,0.022,32.704,,,1.731,1950s
Africa,1955,,129.402,0.511,0.345,2309.473,3.409,91.675,0.022,34.297,,,1.738,1950s
Africa,1956,,135.106,0.522,0.347,2376.096,3.517,95.594,0.029,35.966,,,1.705,1950s
Africa,1957,,141.593,0.535,0.35,2458.255,3.681,99.299,0.022,38.591,,,1.73,1950s
Africa,1958,,148.671,0.549,0.36,2553.04,3.989,103.144,0.018,41.52,,,1.766,1950s
Africa,1959,,147.841,0.534,0.34,2649.378,4.189,101.676,0.035,41.942,,,1.67,1950s
Africa,1960,,156.567,0.552,0.345,2578.319,4.399,103.522,0.047,48.598,,,1.668,1960s
Africa,1961,,161.994,0.558,0.349,2073.495,4.3,105.003,0.498,52.193,,,1.721,1960s
Africa,1962,,166.335,0.559,0.346,1886.398,4.461,106.668,0.74,54.466,,,1.706,1960s
